
"http://maoyan.com/films/1203 霸王别姬 张国荣,张丰毅,巩俐 "
"http://maoyan.com/films/1297 肖申克的救赎 蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿 "
"http://maoyan.com/films/2641 罗马假日 格利高利·派克,奥黛丽·赫本,埃迪·艾伯特 "
"http://maoyan.com/films/4055 这个杀手不太冷 让·雷诺,加里·奥德曼,娜塔莉·波特曼 "
"http://maoyan.com/films/267 泰坦尼克号 莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩 "
"http://maoyan.com/films/1247 教父 马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩 "
"http://maoyan.com/films/123 龙猫 日高法子,坂本千夏,糸井重里 "
"http://maoyan.com/films/837 唐伯虎点秋香 周星驰,巩俐,郑佩佩 "
"http://maoyan.com/films/1212 千与千寻 柊瑠美,入野自由,夏木真理 "
"http://maoyan.com/films/2760 魂断蓝桥 费雯·丽,罗伯特·泰勒,露塞尔·沃特森 "
"http://maoyan.com/films/9025 喜剧之王 周星驰,莫文蔚,张柏芝 "
"http://maoyan.com/films/1228 天空之城 寺田农,鹫尾真知子,龟山助清 "
"http://maoyan.com/films/14556 大闹天宫 邱岳峰,毕克,富润生 "
"http://maoyan.com/films/7431 乱世佳人 费雯·丽,克拉克·盖博,奥利维娅·德哈维兰 "
"http://maoyan.com/films/313 英雄本色 张国荣,周润发,狄龙 "
"http://maoyan.com/films/513 剪刀手爱德华 约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特 "
"http://maoyan.com/films/3667 辛德勒的名单 连姆·尼森,拉尔夫·费因斯,本·金斯利 "
"http://maoyan.com/films/3103 音乐之声 朱丽·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克 "
"http://maoyan.com/films/1597 春光乍泄 张国荣,梁朝伟,张震 "
"http://maoyan.com/films/1249 黑客帝国 基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩 "
"http://maoyan.com/films/1303 美丽人生 罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼 "
"http://maoyan.com/films/1292 海上钢琴师 蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩 "
